广东,#genre#
广西都市,http://mobilelive.gxtv.cn/live/nn_live1006/playlist.m3u8
广西新闻,http://mobilelive.gxtv.cn/live/nn_live1007/playlist.m3u8
广西移动,http://mobilelive.gxtv.cn/live/nn_live1008/playlist.m3u8
广西国际,http://mobilelive.gxtv.cn/live/nn_live1009/playlist.m3u8
玉林新闻综合,http://pili-live-hls.yldst.sobeylive.com/yldst2019/ylxwzh.m3u8
玉林公共,http://pili-live-hls.yldst.sobeylive.com/yldst2019/ylgg.flv
玉林知识,http://pili-live-hls.yldst.sobeylive.com/yldst2019/ylzs.flv
南宁新闻综合,http://hls.nntv.cn/nnlive/NNTV_NEWS_A.m3u8
南宁影视娱乐,http://m3u8.nntv.cn/cutvlive/1r8OKpx/hls/k1880Kgx_sd.m3u8
南宁公共,http://m3u8.nntv.cn/cutvlive/U1kGA08/hls/kU8k0Ag8_sd.m3u8
南宁都市生活,http://hls.nntv.cn/nnlive/NNTV_METRO_A.m3u8
柳州新闻综合,http://liveplay.lztvnet.com/live/31750_cc3fcb0f68b311e992905cb9018cf0d4.m3u8
柳州科教频道,http://liveplay.lztvnet.com/live/31750_e1bbfc0b68b311e992905cb9018cf0d4.m3u8

四川,#genre#
四川卫视,http://scgctvshow.sctv.com/scgc/sctv1deu5453w/1.m3u8
四川新闻,http://scgctvshow.sctv.com/sdlive/sctv4/1.m3u8
四川文化旅游,http://scgctvshow.sctv.com/hdlive/sctv2/1.m3u8
四川经济,http://scgctvshow.sctv.com/hdlive/sctv3/1.m3u8
四川影视文艺,http://scgctvshow.sctv.com/hdlive/sctv5/1.m3u8
四川妇女儿童,http://scgctvshow.sctv.com/hdlive/sctv7/1.m3u8
四川公共-乡村,http://scgctvshow.sctv.com/hdlive/sctv9/1.m3u8
四川康巴卫视,http://scgctvshow.sctv.com/sdlive/kangba/1.m3u8#http://by4.nty.tv189.cn/tm-kangbatv-800k.m3u8
四川科教,http://m3u8.sctv.com/tvlive/SCTV8/index.m3u8
峨眉电影,http://scgctvshow.sctv.com:80/hdlive/emei/1.m3u8
乐山新闻综合,http://flv.channellive.leshantv.net/live/ch1.flv
